symbol,interval,open,high,low,close,adjusted_close,volume
HSPX.LSE,d,722.0,725.1,711.165,712.9938,587.7001,269947
HSPX.LSE,d,694.693,710.32,675.725,710.32,585.4962,425766
HSPX.LSE,d,721.39,721.98,698.245,698.245,575.5431,326210
HSPX.LSE,d,710.723,711.5163,686.968,711.5163,586.4823,114594
HSPX.LSE,d,714.395,727.0,701.226,725.6663,598.1457,49484
HSPX.LSE,d,727.865,731.035,727.8375,727.8375,599.9354,39448
HSPX.LSE,d,730.66,730.9425,726.36,730.9425,602.4947,17994
HSPX.LSE,d,728.78,730.325,726.2775,726.2775,598.6495,21376
HSPX.LSE,d,701.09,716.68,694.7588,694.7588,572.6696,194508
HSPX.LSE,d,684.183,693.5,681.693,689.3775,568.2339,101639
HSPX.LSE,d,695.763,695.9,686.54,689.025,567.9434,42844
HSPX.LSE,d,691.5,696.055,688.3,692.3388,570.6748,5837
HSPX.LSE,d,698.583,715.41,698.583,713.5375,588.1483,160679
HSPX.LSE,d,721.0,721.908,719.2737,719.2737,592.8765,7977
HSPX.LSE,d,713.483,721.74,677.22,717.9325,591.771,67407
HSPX.LSE,d,738.265,744.7875,738.0,744.7875,613.9068,14548
HSPX.LSE,d,748.997,753.65,746.13,753.65,621.2119,4961
HSPX.LSE,d,754.0,762.045,752.706,756.5675,623.6167,530254
HSPX.LSE,d,740.928,740.928,711.192,732.9575,604.1556,150142
HSPX.LSE,d,723.668,723.668,714.505,714.505,588.9458,212641
HSPX.LSE,d,719.293,722.9013,712.718,722.9013,595.8666,109232
HSPX.LSE,d,738.365,748.885,738.168,748.385,616.8721,64693
HSPX.LSE,d,757.143,757.143,747.26,750.3313,618.4764,21707
HSPX.LSE,d,743.95,744.15,734.2663,734.2663,605.2344,6477
HSPX.LSE,d,720.94,730.333,716.92,728.65,600.6051,715396
HSPX.LSE,d,733.588,744.838,729.6925,739.0875,609.2084,110457
HSPX.LSE,d,739.535,751.473,739.488,750.3738,618.5114,71172
HSPX.LSE,d,757.223,760.648,755.98,759.9488,626.4038,49639
HSPX.LSE,d,767.25,771.365,764.598,767.0375,632.2468,306552
HSPX.LSE,d,764.04,766.42,763.41,764.965,630.5385,13772
HSPX.LSE,d,770.0,777.635,770.0,777.5688,640.9274,26651
HSPX.LSE,d,773.193,773.193,768.4225,768.4225,633.3884,14715
HSPX.LSE,d,740.653,743.275,737.95,738.7475,608.9282,8716
HSPX.LSE,d,727.185,738.975,725.6,737.7863,608.1359,33374
HSPX.LSE,d,743.08,744.4,738.6188,738.6188,608.8221,11091
HSPX.LSE,d,762.04,762.13,755.56,762.13,628.2017,11960
HSPX.LSE,d,752.865,759.34,752.835,752.9775,620.6575,17279
HSPX.LSE,d,745.6,751.5,740.628,744.5975,613.7502,7388
HSPX.LSE,d,739.615,747.26,735.69,738.36,608.6088,68713
HSPX.LSE,d,727.61,733.2688,727.61,733.2688,604.4122,47907
HSPX.LSE,d,709.553,715.528,705.34,713.605,588.2039,93479
HSPX.LSE,d,727.5,740.12,726.065,735.9175,606.5955,102538
HSPX.LSE,d,743.103,756.32,742.093,753.0525,620.7194,96109
HSPX.LSE,d,753.5,758.688,748.3913,748.3913,616.8773,10965
HSPX.LSE,d,753.688,763.268,753.688,762.1188,628.1925,928
HSPX.LSE,d,765.405,770.9,764.053,770.0175,634.7031,16425
HSPX.LSE,d,769.52,773.648,767.918,772.9025,637.0811,106389
HSPX.LSE,d,769.71,769.71,761.6725,761.6725,627.8246,23867
HSPX.LSE,d,773.17,774.31,767.9,771.7775,636.1538,26398
HSPX.LSE,d,784.448,784.5,771.03,772.8138,637.008,17562
HSPX.LSE,d,763.103,773.105,761.43,773.105,637.2481,26156
HSPX.LSE,d,780.323,783.86,779.653,780.2113,643.1056,8828
HSPX.LSE,d,773.753,778.117,771.2475,771.2475,635.717,13204
HSPX.LSE,d,774.68,782.17,774.68,778.6263,641.7991,15313
HSPX.LSE,d,782.5,788.97,781.44,788.94,650.3004,17226
HSPX.LSE,d,786.385,789.74,779.2,779.2525,642.3153,37865
HSPX.LSE,d,776.867,776.867,776.445,776.6075,640.1351,4306
HSPX.LSE,d,791.318,799.25,791.318,795.28,655.5263,107894
HSPX.LSE,d,799.91,802.42,797.89,800.22,659.5982,15914
HSPX.LSE,d,799.245,799.495,787.9513,787.9513,649.4854,53097
HSPX.LSE,d,777.36,777.74,768.72,769.3163,634.1251,221915
HSPX.LSE,d,777.428,781.23,772.15,780.0875,643.0035,85367
HSPX.LSE,d,772.975,786.853,772.74,786.6375,648.4025,360426
HSPX.LSE,d,791.5,792.23,782.395,782.395,644.9055,22083
HSPX.LSE,d,778.938,786.628,778.46,781.835,644.4439,56754
HSPX.LSE,d,788.25,795.07,787.1763,787.1763,648.8466,144006
HSPX.LSE,d,789.22,790.11,784.72,787.9475,649.4823,14462
HSPX.LSE,d,781.75,785.553,780.15,781.5713,644.2266,165544
HSPX.LSE,d,787.803,792.425,787.803,792.425,653.173,11338
HSPX.LSE,d,798.0,800.39,794.065,796.4,656.4495,9972
HSPX.LSE,d,789.653,797.563,785.81,793.8675,654.362,319180
HSPX.LSE,d,799.923,804.15,793.74,800.9263,660.1804,419946
HSPX.LSE,d,790.713,794.45,784.175,786.7413,648.4881,56161
HSPX.LSE,d,778.242,780.063,775.53,778.2525,641.491,65104
HSPX.LSE,d,768.453,772.953,763.503,764.13,629.8502,41185
HSPX.LSE,d,771.37,771.83,762.1525,762.1525,628.2202,26197
HSPX.LSE,d,761.688,761.688,756.6738,756.6738,623.7043,98228
HSPX.LSE,d,758.315,759.36,753.43,755.2713,622.5483,108495
HSPX.LSE,d,751.148,761.73,749.18,760.7813,627.09,59313
HSPX.LSE,d,768.0,776.24,766.5,775.7125,639.3973,96074
HSPX.LSE,d,771.273,779.01,771.273,774.4475,638.3546,3387819
HSPX.LSE,d,774.82,793.98,771.4,792.6463,653.3554,103632
HSPX.LSE,d,797.295,800.82,795.84,797.6788,657.5035,40396
HSPX.LSE,d,808.895,811.38,806.905,811.2488,668.6889,91224
HSPX.LSE,d,809.878,812.75,809.62,811.7288,669.0845,16823
HSPX.LSE,d,810.805,813.168,809.93,812.5475,669.7594,18914
HSPX.LSE,d,814.745,815.83,800.18,805.1713,663.6794,17400
HSPX.LSE,d,810.303,812.22,802.8963,802.8963,661.8042,57391
HSPX.LSE,d,798.21,807.4413,797.46,807.4413,665.5505,26565
HSPX.LSE,d,807.955,811.38,796.5,796.9838,656.9307,9198
HSPX.LSE,d,802.64,806.82,799.78,804.945,663.4929,18431
HSPX.LSE,d,799.23,801.39,792.505,792.505,653.2389,59046
HSPX.LSE,d,793.945,795.37,790.84,793.565,654.1126,164668
HSPX.LSE,d,795.365,799.22,795.128,797.1425,657.0615,29546
HSPX.LSE,d,797.828,798.63,788.9288,788.9288,650.2912,11429
HSPX.LSE,d,785.475,796.59,785.475,795.81,655.9631,24296
